Subtype concept ID, Supertype concept ID, Subtype FSN, Supertype FSN
431352003,431078000,Desulfotomaculum thermobenzoicum subspecies thermosyntrophicum (organism),Desulfotomaculum thermobenzoicum subspecies thermobenzoicum (organism)
132667005,132665002,LaPerm Shorthair cat breed (organism),Shorthair cat breed (organism)
132089008,77236002,Hyper Large White pig breed (organism),Large white pig (organism)
132693003,131858005,Silver Auburn turkey breed (organism),Auburn turkey breed (organism)
431992009,114175008,Fibrobacter succinogenes subspecies elongatus (organism),Fibrobacter succinogenes subspecies succinogenes (organism)
432256000,432228005,Photorhabdus luminescens subspecies kayaii (organism),Photorhabdus luminescens subspecies luminescens (organism)
132157001,133162009,"Hainan, Wenchang pig breed (organism)",Hainan pig breed (organism)
131844008,70881005,Chinese white goose breed (organism),Anser anser anser (organism)
450394003,450393009,Lactobacillus plantarum subspecies argentoratensis (organism),Lactobacillus plantarum subspecies plantarum (organism)
705167005,705166001,Yersinia enterocolitica subspecies palearctica (organism),Yersinia enterocolitica subspecies enterocolitica (organism)
132329003,132324008,"Xinjin, Xinjin pig breed (organism)",Xinjin pig breed (organism)
425262009,425107005,Chen caerulescens atlantica (organism),Chen caerulescens caerulescens (organism)
5531007,14191007,Cowbone Ridge virus (organism),Entebbe bat virus (organism)
441416004,441446001,Thermoanaerobacter brockii subspecies lactiethylicus (organism),Thermoanaerobacter brockii subspecies brockii (organism)
133753002,133620003,Polled Nelore cattle breed (organism),Nelore cattle breed (organism)
27371000146103,38518005,Lactococcus lactis subspecies tructae (organism),Lactococcus lactis subspecies lactis (organism)
434527000,434718003,Hyphomicrobium facile subspecies ureaphilum (organism),Hyphomicrobium facile subspecies facile (organism)
131848006,70881005,Pomeranian goose breed (organism),Anser anser anser (organism)
132812007,132710007,American Tunis sheep breed (organism),Tunis sheep breed (organism)
438755009,438990007,Streptomyces rimosus subspecies paromomycinus (organism),Streptomyces rimosus subspecies rimosus (organism)
723811005,723810006,Photorhabdus temperata subspecies cinerea (organism),Photorhabdus temperata subspecies temperata (organism)
285179003,285180000,Latrodectus mactans hasselti (organism),Latrodectus mactans mactans (organism)
23310006,84684000,Streptococcus salivarius subspecies thermophilus (organism),Streptococcus salivarius subspecies salivarius (organism)
432166004,432123006,Photorhabdus asymbiotica subspecies australis (organism),Photorhabdus asymbiotica subspecies asymbiotica (organism)
441424009,441429004,Zymomonas mobilis subspecies pomaceae (organism),Zymomonas mobilis subspecies mobilis (organism)
133439001,133464003,Improved Rodopi cattle breed (organism),Rodopi cattle breed (organism)
421253004,421544007,Streptococcus gallolyticus subspecies pasteurianus (organism),Streptococcus gallolyticus subspecies gallolyticus (organism)
609303007,699397001,Endolimax nana trophozoite (organism),Trophozoite form of Order Amoebida (organism)
113419009,113420003,Actinomyces neuii ss anitratus (organism),Actinomyces neuii ss neuii (organism)
438221007,723804006,Pseudomonas chlororaphis subspecies aurantiaca (organism),Pseudomonas chlororaphis subspecies chlororaphis (organism)
131817003,44082004,Blue Swedish breed duck (organism),Anas platyrhynchos platyrhynchos (organism)
444337007,450596002,Bison bison subspecies athabascae (organism),Bison bison subspecies bison (organism)
446191000,448945001,Campylobacter lari subspecies concheus (organism),Campylobacter lari subspecies lari (organism)
132629007,132614005,Norwegian Lundehund dog breed (organism),Lundehund dog breed (organism)
68262008,14191007,Montana Myotis leukoencephalitis virus (organism),Entebbe bat virus (organism)
432484007,432619002,Clostridium stercorarium subspecies thermolacticum (organism),Clostridium stercorarium subspecies stercorarium (organism)
54001000,91131004,Plant producing sapogenin glycoside (organism),Plant producing glycoside (organism)
723833007,723808009,Herbaspirillum huttiense subspecies putei (organism),Herbaspirillum huttiense subspecies huttiense (organism)
406725008,132399006,Alaskan Klee Kai dog breed (organism),Kai Dog breed (organism)
440277008,440278003,Streptomyces hygroscopicus subspecies glebosus (organism),Streptomyces hygroscopicus subspecies hygroscopicus (organism)
432830002,91508008,Francisella tularensis subspecies japonica (organism),Francisella tularensis subspecies tularensis (organism)
81454004,38518005,Lactococcus lactis subspecies cremoris (organism),Lactococcus lactis subspecies lactis (organism)
21285000,7004000,Theileria parva bovis (organism),Theileria parva parva (organism)
